text,paragraph_id,question,person,keywords,sentiment
"If you will not publish how many of those contracts you have---you were also asked about their duration and their contract value---as this is the Public Accounts Committee, would you give an undertaking to provide that information to the Committee in confidence?",325,Q110,Mr Francois,"publishing, contracts, duration, contract value, Public Accounts Committee, providing information in confidence",I would rate the sentiment expressed in the paragraph as a 5.
"Yes, in principle. I would need to check that.",326,Q110,David Williams,"possibility, confirmation",I would rate the sentiment expressed in the paragraph as a 5. The response seems neutral and lacks a clear positive or negative sentiment.
"We have previously had access to the entire strategic suppliers information. Admittedly, that was under a humble address of the House.",327,Q110,Chair,"access to strategic suppliers information, humble address of the House","I would rate the sentiment expressed in the given paragraph as a 5.5. The tone seems moderately neutral, as it mentions past access to information, but acknowledges that it was done in a humble address of the House."
You could save us going to all that trouble.,328,Q110,Mr Francois,"saving time, avoiding hassle, potential solution",I would rate the sentiment expressed in the paragraph as approximately a 6.
We may simply approach the Cabinet Office for the whole list.,329,Q110,Chair,"approaching the Cabinet Office, requesting a list",7
Your in-principle answer is yes.,330,Q111,Mr Francois,in-principle answer,I would rate the sentiment expressed in the paragraph as a 7.
Yes.,331,Q111,David Williams,N/A,"Without any context or additional information, it is not possible to accurately rate the sentiment expressed in the paragraph."
That will do. Thank you very much.,332,Q111,Mr Francois,"expressing gratitude, completion of task or conversation",I would rate the sentiment expressed in the paragraph as a 9.
I know what the answer is and I do not particularly see any problem with sharing it with you.,333,Q111,David Williams,"knowledge, answer, sharing",8
That is very good.,334,Q111,Mr Francois,None,8
"Finally, before we move on, having now read last year's report again, I have one final point. As well as the F-35, five other programmes moved from red to amber in the latest published IPA review.",335,Q111,David Williams,"Year's report, final point, F-35, programmes, red to amber, IPA review",I would rate the sentiment expressed in the paragraph as a 7.
"In terms of what we are doing on internal governance, the Minister for Defence Procurement has now started a regular GMPP review meeting with a particular focus on the reds and ambers trending down. At the delivery end in DE&S there is a programme of project review meetings led by non-executive directors on Mr Start's board. We have followed up on some of the Sheldon recommendations about ensuring that senior responsible owners have a direct route into me or senior sponsors in head office where they are concerned about progress. We are taking the delivery governance seriously.",336,Q111,David Williams,"internal governance, Minister for Defence Procurement, GMPP review meeting, reds and ambers trending down, delivery end in DE&S, project review meetings, non-executive directors, Mr Start's board, Sheldon recommendations, senior responsible owners, direct route, me or senior sponsors, head office, progress, delivery governance","I would rate the sentiment expressed in the paragraph as a 7. While it is not overly positive, there is a sense of commitment and seriousness expressed in terms of internal governance."
"Can I just add one extra thing to what Mr Start said, just to bring it to life further? You gave credit to DNS staff under Mr Start for what they have done in Ukraine.",337,Q111,Lt General Sir Robert Magowan,"Mr. Start's statement, Adding additional information, Credit to DNS staff in Ukraine",I would rate the sentiment expressed in the paragraph as a 7.
"Yes, absolutely right.",338,Q111,Mr Francois,agreement,I would rate the sentiment expressed in the paragraph as a 8.
"I can name three programmes in the DMPP that are red, which would go green tomorrow morning if we were going to war tomorrow night. We would be able to deliver FASGW-heavy, Brimstone 3 and SPEAR cap 3, if we needed to, but we are not prepared to take the level of risk that we are taking in Ukraine. We just need to ensure that we are comparing apples with apples.",339,Q111,Lt General Sir Robert Magowan,"DMPP programmes, red programmes, going green tomorrow morning, war tomorrow night, delivering FASGW-heavy, delivering Brimstone 3, delivering SPEAR cap 3, readiness for risk in Ukraine, comparing apples with apples.",3
"Can we take a bit more risk, then?",340,Q111,Mr Francois,"risk tolerance, question",I would rate the sentiment expressed in the paragraph a 5.
Let us not digress into other topics.,341,Q111,Chair,digression,I would rate the sentiment expressed in the paragraph as a 7.
"I will move on to supply chain constraints. I am going to start off with paragraph 2.5 of the NAO Report. It says, ""The MoD is also facing supply chain risks and industry capacity constraints, mainly due to skills gaps, shortages of key components and an increased demand for defence equipment in other countries in response to the war in Ukraine"".",342,Q112,Mr Djanogly,"supply chain constraints, NAO Report, MoD, supply chain risks, industry capacity constraints, skills gaps, shortages of key components, increased demand for defence equipment",I would rate the sentiment expressed in the paragraph as a 4.
"It then gives a series of examples, one of which is that the Army has said the lead time for the delivery of semiconductors has increased from one to three weeks to more than 50 weeks. Mr Williams, from your point of view, has the NAO report got it right? Are there these supply constraints that it is talking about? What impact are they having on delivery of equipment plan projects?",343,Q112,Mr Djanogly,"examples, Army's lead time for semiconductor delivery, NAO report, supply constraints, impact on delivery of equipment plan projects","I would rate the sentiment expressed in the paragraph as a 5. It seems to be neutral, as it presents factual information regarding supply constraints without expressing a clear positive or negative sentiment."
"Yes, they have got it right. That specific example around the Army experience and access to semiconductors is directly relevant to the Boxer example that Mr Start talked about.",344,Q112,David Williams,"Military technology, semiconductor access, relevance",I would rate the sentiment expressed in the paragraph as a 7.
"We have put in place a number of processes to give us better visibility below the prime contractor level of our supply chain, including up to around 700 companies that are active in the UK defence supply chain. We have been developing a measure of supply chain fragility or vulnerability. Given your role on the Defence Suppliers Forum, Mr Start, I wonder whether you might want to expand on that.",345,Q112,David Williams,"supply chain visibility, UK defence supply chain, supply chain fragility or vulnerability, Defence Suppliers Forum",I would rate the sentiment expressed in the paragraph as a 7.
"This is a very different world to the one that we lived in five years ago. There is no doubt significantly more pressure on raw materials and raw material access. Because of the war in Ukraine, there is incredible demand for existing products and equipment. That is pressuring down through the supply chain.",346,Q112,Andy Start,"changing world, increased pressure on raw materials and access, war in Ukraine, increased demand for products and equipment, supply chain pressure",I would rate the sentiment expressed in the paragraph as a 4.
"As a consequence of that, we have been having to work with the large primes within the Defence Suppliers Forum. The DSF covers about 80 companies directly and then the whole of the supply chain through the trade associations. We have been working with the large companies to make sure their supply chain teams are discussing supply chain fragility.",347,Q112,Andy Start,"consequence of working with large primes, Defence Suppliers Forum, companies in DSF, supply chain, trade associations, supply chain fragility",I would rate the sentiment expressed in the paragraph as a 7.
"We have also changed the defence conditions or DEFCONs. Within contracts, the primes now have to provide us with visibility of the supply chain at least four levels down. We have created a supply chain visibility toolset, which now allows us to map this very complex web of interrelated suppliers both onshore and offshore. We can now see where things map.",348,Q112,Andy Start,"changing defence conditions, supply chain visibility, supply chain mapping",I would rate the sentiment expressed in the paragraph as a 7.
That goes four tiers down.,349,Q113,Chair,"depth, quantity/frequency",8
"Yes. For the most critical products we have also started to place investment in the supply chain where there have been weaknesses and issues, particularly in things like munitions.",350,Q113,Andy Start,"investment in supply chain, weaknesses and issues in supply chain, critical products, munitions",7
"Within the Government's commitment to £560 million over two years in terms of improving defence resilience, we have been spending that money on not only enhancing production capacity but also working down through the supply chain particularly around chemicals, chemical supply and so on.",351,Q113,Andy Start,"government commitment, improving defence resilience, spending money, enhancing production capacity, working down through the supply chain, chemicals, chemical supply",I would rate the sentiment expressed in the paragraph as a 7.
"I will come back to the foreign aspect, which we have not really covered yet, but to what extent are you reliant on delays that result in short-term savings but long-term overall cost increases? In the NAO Report, the Type 23 frigate, where repair costs have increased by £23 million to £100 million, is given as an example. To what extent are you using short-term savings but, as a result of that, then being hit for much larger costs down the line?",352,Q114,Mr Djanogly,"1. Foreign aspect
2. Reliance on delays
3. Short-term savings
4. Long-term overall cost increases
5. NAO Report
6. Type 23 frigate
7. Repair costs
8. Short-term savings
9. Larger costs down the line","I would rate the sentiment expressed in this paragraph at around a 3 on the scale. The tone seems negative and critical, expressing concern about relying on delays and short-term savings that may lead to larger costs in the long run."
We have to balance the budget in any particular year. That always creates pressures on spend-to-save things that we would like to do but just cannot. That is a dynamic of defence. We have to make those decisions. We try to prioritise the things that will give us the greatest benefit.,353,Q114,Andy Start,"- Balancing the budget
- Pressures on spend-to-save things
- Defense dynamics
- Making decisions
- Prioritizing beneficial things",I would rate the sentiment expressed in the paragraph as a 6.5
The other dynamic we are facing at the moment is that we are seeing a very high operational tempo of our use of military assets. That means a number of assets that should be in for scheduled maintenance are not because they are out on operational deployment. We are building up something of a maintenance debt that we are going to have to work through as well. There are a few of those dynamics.,354,Q114,Andy Start,"operational tempo, use of military assets, scheduled maintenance, operational deployment, maintenance debt",I would rate the sentiment expressed in the paragraph a 4.
"It is reflected in our equipment plan, if you look at paragraphs 1.21 and 1.22 in the report. The phrase we use is ""management adjustment for realism"".",355,Q114,David Williams,"equipment plan, paragraphs 1.21 and 1.22, ""management adjustment for realism""",I would rate the sentiment expressed in the paragraph as a 6.
"In putting the plans together, frontline commands, in conjunction with Mr Start's delivery teams or delivery teams elsewhere, will make an assessment of the realism of being able to deliver the programme in totality. Because we do not want to underspend---we want to get as much capability as we can for the budget---that is being factored in particularly within the early years of the programme.",356,Q114,David Williams,"putting plans together, frontline commands, Mr Start's delivery teams, delivery teams elsewhere, assessment of realism, delivering the programme, underspend, getting as much capability as possible, budget, being factored in, early years of the programme",I would rate the sentiment expressed in the paragraph as a 7.
It is not particularly a deliberate slowing down of any one programme but an assumption that the totality of the programme overall will probably arrive later than we have programmed.,357,Q114,David Williams,"slowing down of programs, assumption of delayed arrival of programs","I would rate the sentiment expressed in the paragraph as a 5. This is because the statement does not convey a highly positive or negative sentiment, but rather a neutral tone. The use of words like ""not particularly"" and ""assumption"" suggest some level of uncertainty or potential delay, but there is no strong emotional leaning towards either a negative or positive outcome."
"It is certainly not deliberate in terms of the operational aspects you mentioned and things being used. General, what are the capability implications of equipment being used and therefore not being replaced?",358,Q115,Mr Djanogly,"operational aspects, equipment capability, equipment replacement",I would rate the sentiment expressed in the paragraph as a 5. The language used is relatively neutral and does not display a strong positive or negative sentiment.
"That is why we have a replenishment programme for Ukraine. Mr Start and the team have got at that, particularly with regards to some of our missile defence systems but more broadly as well. We know we have to either replenish or take operational risk. That is why we have been given additional funding to do that twice, in both the autumn statement and the spring statement.",359,Q115,Lt General Sir Robert Magowan,"replenishment programme for Ukraine, missile defence systems, operational risk, additional funding.",I would rate the sentiment expressed in the paragraph as a 7.
"Last week, on 15 January, as part of the ""Defending the UK and Allies"" statement, our colleague Jack Lopresti asked the Prime Minister, ""Is it not time that we upscaled our industrial defence capacity so that we can continue to support our friends in Ukraine and replenish our own stocks?""",360,Q116,Mr Djanogly,"Defence capacity, Support for Ukraine, Industrial defence, Replenishing stocks.",I would rate the sentiment expressed in the paragraph as a 8.5.
"The Prime Minister's reply was, ""That is an excellent point. In a word, yes. That is why we have invested £2.5 billion in rebuilding our stockpiles. Beyond the money, we do need to build our defence industrial capability. That is a challenge shared across NATO that I have discussed extensively with partners, including the NATO Secretary-General. Of course, part of our agreement with Ukraine is how we can mutually help to support and grow our defence industrial complexes"".",361,Q116,Mr Djanogly,"Prime Minister's reply, Rebuilding stockpiles, Defence industrial capability, NATO partnership, Agreement with Ukraine","I would rate the sentiment expressed in the paragraph as an 8.5. The Prime Minister's response seems positive and confident, indicating that they believe their government is effectively addressing defense and industrial capabilities, both domestically and within NATO."
"Could someone---is it one for Mr Start?---please explain what the Prime Minister meant when he said ""mutually help to support and grow our defence industrial complexes""?",362,Q116,Mr Djanogly,Prime Minister's statement on defence industrial complexes,I would rate the sentiment expressed in the paragraph as a 5.
"One of my roles is to lead a programme called Project Hirst, which is our project of supporting Ukraine to build its defence industrial capability, its ability to domestically support the fight, while working in conjunction with UK industry.",363,Q116,Andy Start,"- Role in supporting Ukraine
- Project Hirst
- Building defence industrial capability
- Domestic support in the fight
- Collaboration with UK industry",I would rate the sentiment expressed in the paragraph as a 7.
"Using a combination of UK funds and UK Export Finance, we are in the process of supporting UK industry to forum partnerships, joint ventures or other commercial arrangements with Ukrainian companies. Together with Ukraine, we are building industrial capacity for the fight. There are some real benefits to that.",364,Q116,Andy Start,"Supporting UK industry, UK Export Finance, forming partnerships and joint ventures, commercial arrangements, building industrial capacity","I would rate the sentiment expressed in the paragraph a 8.5. The overall sentiment is positive, as it discusses supporting UK industry and building partnerships with Ukrainian companies for the fight. The statement also highlights the ""real benefits"" of this effort. However, it is not extremely enthusiastic or effusive, hence the rating is not a perfect 10."
In Ukraine?,365,Q116,Mr Djanogly,Ukraine,"I'm sorry, but I cannot accurately rate the sentiment expressed in the paragraph ""In Ukraine?"" without any context or content."
"It is building capability both here and in Ukraine. I was out in Kyiv just before Christmas running the first of a series of conferences between the UK defence industry and the Ukrainian defence industry. I was pleased to be joined by the Ukrainian Defence Minister and their Minister for strategic supply, as we worked together to build up that capacity together.",366,Q116,Andy Start,"building capability, UK defence industry, Ukrainian defence industry, conferences, Ukrainian Defence Minister, Minister for strategic supply, capacity building","I would rate the sentiment expressed in the paragraph as a 9. It appears to be very positive and optimistic about building capability and capacity in both the UK and Ukraine. The use of phrases like ""pleased to be joined"" and ""worked together"" suggests a cooperative and collaborative attitude, indicating a positive sentiment."
I talked to you earlier on about the fact that in the fight some technologies are evolving every 90 days. The benefit that our industry gets from working with the Ukrainian industry is that real operational feedback into how its products are working and how it needs to adapt over time. That will make us more competitive in export as well as ensuring that our products adapt and remain relevant in the fight against Russia and others.,367,Q116,Andy Start,"technology evolution, collaboration with Ukrainian industry, operational feedback, product adaptation, competitiveness in export, relevance in fight against Russia and others",I would rate the sentiment expressed in the paragraph a 8.
"I totally get that in terms of the cutting edge, but not all of it is cutting edge, like NLAWs or 155-millimetre shells. I understand that the Ukraine provision is being paid for from a separate pot, in effect. However, it is still coming from the same factories. Is there enough to go around, even if we can pay for it?",368,Q117,Mr Djanogly,"cutting edge technology, NLAWs, 155-millimetre shells, Ukraine provision, separate funding, same factories, availability",I would rate the sentiment expressed in the paragraph as a 5.
"There is no question that industrial capacity across Europe is stretched, particularly in some areas like 155-millimetre munitions. Over the last 12 months, as part of the Ukraine Defense Contact Group, I have been working with my national armament director colleagues to build that capacity in both physical continental Europe and the US to increase industrial capacity.",369,Q117,Andy Start,"industrial capacity across Europe, 155-millimetre munitions, Ukraine Defense Contact Group, physical continental Europe, US, increase industrial capacity",I would rate the sentiment expressed in the paragraph as a 7.
"An example of that in the UK was our investment in increasing the capacity of our 155-millimetre munition manufacturing capability with BAE Systems, under our long-term partnering agreement with BAE Systems. We have increased that capacity eightfold by investing in its underlying manufacturing capacity to support both our need and the need for Ukraine.",370,Q117,Andy Start,"investment in increasing capacity, 155-millimetre munition manufacturing capability, BAE Systems, long-term partnering agreement, increased capacity eightfold, investing in manufacturing capacity, supporting the need for Ukraine",I would rate the sentiment expressed in the paragraph as a 7.
"As things stand, can the British public be satisfied that, if there was a war tomorrow, we would have enough 155-millimetre shells?",371,Q118,Mr Djanogly,"satisfaction of British public, availability of 155-millimeter shells, possibility of war tomorrow",I would rate the sentiment expressed in the paragraph as a 4.
"In conjunction with our allies---we have pooled capacity in those critical munitions with allies---we have enough capability to fight, if we needed to.",372,Q118,Andy Start,"capacity of critical munitions with allies, capability to fight","I would rate the sentiment expressed in the paragraph a 7.5. The statement seems to express confidence in the collaboration and cooperation with allies, indicating a positive and reassuring outlook. However, the mention of needing to fight can slightly diminish the positivity of the sentiment."
It is important to recognise that one of the reasons for that is that the adversary that is identified as our highest threat is currently engaged in a war with Ukraine. That is attritting its capability. Anything that we do to support Ukraine degrades our greatest potential adversary.,373,Q118,Andy Start,"Reasons for adversary engagement with Ukraine, attrition of adversary capability, supporting Ukraine degrades potential adversary",I would rate the sentiment expressed in the paragraph as a 5.
"General Magowan, would you like to add to that?",374,Q118,Mr Djanogly,"General Magowan, adding to statement","As an AI language model, I do not possess personal opinions or emotions. Therefore, I am unable to rate the sentiment expressed in the given statement."
"Yes, a couple of things. First of all, we would have to have a closed session, understandably, on where we hold risk in the so-called TSR---the total stockpile requirement---against the state-on-state threat that Mr Start has been talking about. We are very happy to do that. Clearly, we would not want to do that in public.",375,Q118,Lt General Sir Robert Magowan,"closed session on risk, TSR, state-on-state threat, Mr Start, holding risk, stockpile requirement",I would rate the sentiment expressed in the paragraph as a 5.
"The second point I would make is that I hate to predict the future, but I do not think NATO would be fighting in the way that the Ukrainians, unfortunately, are having to fight against the Russians in their own country. It would be a different fight. There would be a different demand on 155. That is all I would say at this point.",376,Q118,Lt General Sir Robert Magowan,"NATO, future prediction, Ukrainian-Russian conflict, fighting tactics, demand on 155",I would rate the sentiment expressed in the paragraph as a 5.
"My role in Mr Start's plan is to ensure that, as much as possible, there is a commonality of operational requirements between our requirements and Ukraine's because that adds to industrial resilience.",377,Q118,Lt General Sir Robert Magowan,"role in Mr Start's plan, commonality of operational requirements, industrial resilience",I would rate the sentiment expressed in the paragraph as a 7.
"Lastly, to answer your point directly about whether the British public should be confident that we can produce these stockpiles, we should think of an exponential curve going that way. It is going to take some time to ramp up from where we were five years ago to where we need to be. It is accelerating, but it is going to take a number of years, in certain cases, to get to the level that we need to reach against the total stockpile requirement for full warfighting.",378,Q118,Lt General Sir Robert Magowan,"confidence in producing stockpiles, ramping up production, time required, acceleration of production, reaching required level of stockpile",I would rate the sentiment expressed in the paragraph as a 5. The statement is neither extremely positive nor extremely negative. It acknowledges the need for time and effort to reach the desired level but also emphasizes the potential for progress and acceleration.
"Looking at it from the other side of the coin, from the manufacturers' point of view, they also need confidence that, if they are going to build new plants, those are going to be used. From your conversations with them, Mr Start, are they feeling confident about increasing their capability?",379,Q119,Mr Djanogly,"- Manufacturers' perspective on building new plants
- Confidence in utilization of new plants
- Mr. Start's conversations with manufacturers
- Manufacturers' confidence in increasing capability",I would rate the sentiment expressed in the paragraph as a 6.
"As per my conversation earlier on with Mrs Drummond, the industry is looking for a long-term commitment from Government to help it underpin its investment strategy. Together with industry, we have developed a munitions strategy that allows it to get the visibility that it needs. Our intent is to underwrite that in the long-term plan, which then creates the ability for it to scale up capability to meet the UK need.",380,Q119,Andy Start,"- Conversation with Mrs Drummond
- Industry seeking commitment from Government
- Investment strategy
- Munitions strategy
- Visibility
- Long-term plan
- Scaling up capability
- Meeting the UK need",I would rate the sentiment expressed in the paragraph as a 8.
"To meet the Ukrainian need, we are working with it to provide as much visibility as we can about what Ukraine needs and sharing that with our other allies to help create the stimulus where they can invest. Certainly, in my conversations with chief execs, they are keen to invest, if we can give them enough clarity and certainty, and we are working hard to do that.",381,Q119,Andy Start,"Ukrainian need, visibility of Ukraine needs, sharing with allies, stimulus for investment, conversations with chief execs, investment clarity and certainty",6.5
The munitions strategy that Mr Start just mentioned was co-written between us and industry.,382,Q119,Lt General Sir Robert Magowan,"munitions strategy, Mr Start, co-written, us and industry","I would rate the sentiment expressed in the paragraph a 7 out of 10. The tone seems generally positive, indicating collaboration and partnership between the author and industry. However, the lack of further information or context makes it difficult to determine the overall sentiment accurately."
"Does it become easier if, as the Prime Minister said, we are going to be working across NATO?",383,Q120,Mr Djanogly,"Prime Minister's statement, working across NATO",I would rate the sentiment expressed in the paragraph as a 7.
"It is absolutely easier if we do it across NATO. We are doing that as far as is possible within the current commitments under the Conference of National Armaments Directors, on which I sit.",384,Q120,Andy Start,"easier implementation across NATO, current commitments under Conference of National Armaments Directors, personal involvement and participation in the committee",I would rate the sentiment expressed in the paragraph as a 6.
"We are keen to see the nations continue to work together to give a clear signal around their long-term commitment to Ukraine over the next five years or so. The stronger we can make those commitments, the easier it is for industry to make the investments it needs and to ramp up the capacity that we would all like to see.",385,Q120,Andy Start,"long-term commitment to Ukraine, working together, clear signal, industry investments, ramp up capacity",I would rate the sentiment expressed in the paragraph as an 8.
"Permanent Secretary, if I may take you back to recruitment and retention, it is clearly a big problem at the moment. You must be looking at different assessments and at the way in which you can review what is going on and what the problems are at the core in the Department at the moment.",386,Q121,Gary Sambrook,"recruitment and retention, problem, assessments, review, core, Department","I would rate the sentiment expressed in the paragraph as a 6. The speaker acknowledges that recruitment and retention is a big problem, but does not express a particularly positive or negative sentiment overall."
"There are significant numbers of people leaving. When you are walking around the Department, you must be looking at people and thinking, ""Why are they leaving?""",387,Q121,Gary Sambrook,"significant numbers of people leaving, observations at the Department, reasons for leaving",I would rate the sentiment expressed in the paragraph as a 5.
"There are a range of issues. I do not have with me the annual survey, AFCAS, but as part of that we ask a series of questions about which aspects of service life are retention-positive and which are retention-negative. We get quite a good feel from across the service population about the factors of their experience and, within the Armed Forces, what drives people to stay or to go. That is published. I would be happy to share it with the Committee, but I do not have it with me today.",388,Q121,David Williams,"issues, annual survey (AFCAS), aspects of service life, retention-positive and retention-negative aspects, service population, factors of experience, Armed Forces, staying or going decision, publication",I would rate the sentiment expressed in the paragraph as a 6.
"There is a question around the wider economic situation. This is not an excuse, but we saw exit levels drop off quite markedly during Covid. More people were staying than is usual. Some of the effect that we are seeing is a correction of that period, but it is now stabilising at a level that is higher than the historic norm.",389,Q121,David Williams,"wider economic situation, exit levels during Covid, people staying, effect of Covid, correction of period, stabilizing at higher level than historic norm",I would rate the sentiment expressed in the paragraph as a 6 out of 10.
"From the answers we have been given today, a lot of the problems that people have been focusing on are caused by issues of retention and recruitment. The findings of that report should probably be imprinted at the forefront of your mind when walking around, making decisions and informing Ministers.",390,Q122,Gary Sambrook,"problems of retention and recruitment, findings of a report, decision-making, informing Ministers",I would rate the sentiment expressed in the paragraph as a 7.
How far is your work to improve the number of senior responsible owners undermined by the inability to provide them with supporting teams?,391,Q122,Gary Sambrook,"work improvement, number of senior responsible owners, inability to provide supporting teams","I would rate the sentiment expressed in the paragraph as a 4. This is because while there is a recognition of the need to improve the number of senior responsible owners, the mention of the inability to provide them with supporting teams suggests frustration or hinderance in achieving this goal."
It is important to get the right support for SROs in terms of both the direct support that they get from programme directors in their immediate teams and the wider support that they get from delivery teams in Mr Start's organisation as well. That is part of the issue there.,392,Q122,David Williams,support for SROs,I would rate the sentiment expressed in the paragraph a 6.
"As part of our work on the broader procurement model, the broader operating model, there are other challenges for SROs around their direct control of projects in their programmes, which does not sit neatly with the way in which money flows around the organisation in our current setup, and the range of influence they have across all of the lines of development that go to make successful programme delivery. That is one factor but only one factor.",393,Q122,David Williams,"broader procurement model, broader operating model, challenges for SROs, direct control of projects, money flows, current setup, range of influence, lines of development, successful programme delivery, one factor",6.
"We have made good progress over the past year in increasing the proportion of SRO time that is spent on delivering programmes. We are now up at the 90% mark for SROs who are spending at least 50% of their time on major programmes. Where it is lower, they will be dealing with programmes that are allied or related capabilities. We are supporting them through training and accreditation, including of their programme directors. It is a live issue, but one that we are taking steps to address.",394,Q122,David Williams,"progress in increasing proportion of SRO time spent on delivering programmes, 90% mark for SROs spending at least 50% of their time on major programmes, lower proportion of time spent on allied or related capabilities, support through training and accreditation, addressing the issue",I would rate the sentiment expressed in the paragraph as a 8.
"Last week we learned that the Royal Navy's support arm was being forced to use Serco to recruit deckhands. This is the first time in history that the Royal Fleet Auxiliary is not going to be directly employing people on Navy and Royal Marines vessels. This is going to cost you more money and it is not particularly conducive to keeping a good workforce in order either. This is not sustainable, is it?",395,Q123,Gary Sambrook,"recruitment process, Royal Navy, support arm, Serco, Royal Fleet Auxiliary, employment, Navy and Royal Marines vessels, cost, workforce, sustainability","I would rate the sentiment expressed in the paragraph as a 5. The paragraph expresses a mix of negative and neutral sentiments. While it highlights negative aspects such as increased cost and potential negative impact on workforce, it also includes neutral statements about a change in employment practices."
My understanding of that particular case is that we have a contract with Serco for certain port and dockside capabilities. I do not think that job advert is indicative of the health of recruiting potential in the RFA.,396,Q123,David Williams,"contract with Serco, port and dockside capabilities, job advert, health of recruiting potential in the RFA",I would rate the sentiment expressed in the paragraph as a 6.
"Just to be clear, Mr Williams, you are saying that the story was not accurate.",397,Q124,Chair,"accuracy of the story, statement clarification","I would rate the sentiment expressed in the paragraph a 5, as it appears to be neutral."
"Yes, I think that is what I am saying.",398,Q124,David Williams,"personal opinion, confirmation, clarification of statement",I would rate the sentiment expressed in the paragraph a 5. The statement seems neutral and does not convey a particularly positive or negative sentiment.
Let us call a spade a spade. Let us be clear that we are not asking private companies to provide people to serve on Royal Fleet Auxiliary ships.,399,Q125,Chair,"naming, clarifying, asking for services, private companies, Royal Fleet Auxiliary ships",I would rate the sentiment expressed in the paragraph as a 6.
"Again, the Permanent Secretary referred to this at the beginning. One of the major recruitment challenges is that we need to invoke greater flexibility in Armed Forces careers. We are in a different environment to when I joined the Royal Marines, 525 years ago.",400,Q125,Lt General Sir Robert Magowan,"Permanent Secretary, recruitment challenges, flexibility in Armed Forces careers, different environment, Royal Marines",I would rate the sentiment expressed in the paragraph as a 7.
"We are in a position where we have to offer zig-zag careers or whatever it might be. Again, we do not have the report here, but quite often the reason people give for leaving is ""inability to manage my own life"". That answer is more prevalent now than it was decades ago. We are getting after that. That is what the Haythornthwaite review identified.",401,Q125,Lt General Sir Robert Magowan,"zig-zag careers, reasons for leaving, inability to manage own life, Haythornthwaite review",I would rate the sentiment expressed in the paragraph a 6.
"General, we are not alone in this challenge. There are reports of similar challenges with recruitment in the US. You want the best of the best. You want to be able to serve alongside the best of the best. In recent years, has there been too much emphasis on equality of output rather than equality of opportunity in terms of recruitment?",402,Q126,Gary Sambrook,"General, challenges with recruitment in the US, best of the best, serving alongside the best of the best, emphasis on equality of output, equality of opportunity in recruitment.",I would rate the sentiment expressed in the paragraph as a 6.
Do you want to explain what you mean by that?,403,Q126,Chair,inquiring about clarification,"I would rate the sentiment expressed in the paragraph as a 5. It is a neutral statement where the speaker simply seeks clarification or further explanation, without any overtly positive or negative tone."
"We have been looking at a more diverse range of people to go into the forces in particular, which is on one hand a good thing. When that becomes the sole focus of a recruitment campaign, that does not necessarily always yield results.",404,Q126,Gary Sambrook,"diverse range of people for forces, recruitment campaign, results","I would rate the sentiment expressed in the paragraph as a 6 out of 10. It is generally positive, acknowledging the importance of diversity in the forces. However, there is also a slight hint of skepticism or concern about solely focusing on diversity in recruitment campaigns."
"Let me bring it home to the Royal Marines. About four or five years ago, the Royal Marines, along with the other frontline capability in the Armed Forces, welcomed women to join. Our view in the Royal Marines is that a diverse team is a stronger team. There is quite a lot of evidence that a narrow team can develop groupthink. Greater diversity, whatever it might be, whether it be gender or race, delivers a stronger and more challenging team.",405,Q126,Lt General Sir Robert Magowan,"- Royal Marines opening up to women
- Importance of diversity in teams
- Groupthink dangers of narrow teams
- Benefits of diversity in terms of gender and race",I would rate the sentiment expressed in the paragraph as a 9.5. The person expresses a very positive sentiment towards diversity and emphasizes the benefits it brings to a team.
I would refute that it is a distraction. It is something we should absolutely be getting after. History shows that it is a strength.,406,Q126,Lt General Sir Robert Magowan,"distraction, importance of pursuit, strength of pursuing",I would rate the sentiment expressed in the paragraph as a 7.
"Finally, Mr Start, the report states that you have identified 20 roles where you do not have the number of skilled staff you need, which included project managers, commercial staff, data scientists, business analysts and engineers. These are all highly competitive roles. Why can we not keep them or even recruit them?",407,Q127,Gary Sambrook,"- Identified roles with shortage of skilled staff: project managers, commercial staff, data scientists, business analysts, engineers
- Highly competitive roles
- Lack of ability to retain or recruit skilled staff",I would rate the sentiment expressed in the paragraph a 6.
"We are able to recruit them. If we are focusing on the Civil Service, we are able to recruit them, but we do have a slow and steady attrition of this skillset. Why do we have a slow and steady attrition? It is because these are very attractive skills that are wanted in many industries that are currently vibrant. There are very low levels of unemployment. There is a lot of competition for these kinds of jobs. Fundamentally, we need more, coming out of our colleges and universities, to meet the national demand. It is an overall supply and demand issue.",408,Q127,Andy Start,"- Recruitment, Civil Service, Slow and steady attrition, Skillset, Unemployment, Competition, College and university graduates, National demand, Supply and demand issue",I would rate the sentiment expressed in the paragraph as a 7.
"What are we doing about it? We are trying to be clear that, while other people may pay more in some circumstances, we offer a competitive package that is a mixture of a good salary, a good pension and, most importantly, work that is genuinely meaningful, rewarding and enjoyable. We are hoping that message attracts more and more not just to DNS but to the wider defence industry, which is desperately in need of more skills.",409,Q127,Andy Start,"attracting talent, competitive package, salary, pension, meaningful work, rewarding work, enjoyable work, defense industry, skills shortage","I would rate the sentiment expressed in the paragraph as a 8. The overall tone is positive and enthusiastic, emphasizing the benefits and value of the package offered and the importance of attracting skilled individuals to the defense industry."
